count_session,count_hit,totals_newVisits,historic_session,historic_session_page,avg_session_time,avg_session_time_page,single_page_rate,sessionQualityDim,earliest_visit_number,latest_visit_number,time_earliest_visit,time_latest_visit,avg_visit_time,days_since_last_visit,days_since_first_visit,visits_per_day,bounce_rate,num_interactions,bounces,time_on_site,transactionRevenue,has_converted
9,1194,0,6504,1254,722.6666667,139.3333333,0.777777778,6,24,32,12.08,19.17,18,0,17,66.33333333,0.0,1900,0,5617,0,0
28,1816,0,12466,4963,445.2142857,177.25,0.821428571,4,8,62,18.98,11.2,11,0,24,73.48,0.0,3843,0,77417,1477195214,1
2,299,0,1575,0,787.5,0.0,1.0,42,46,47,17.42,14.9,17,0,7,37.375,0.0,592,0,1576,0,0
3,507,0,1000,0,333.3333333,0.0,1.0,2,5,14,15.03,7.0,15,0,1,253.5,0.0,507,0,1958,28745286,1
9,1037,0,3659,0,406.5555556,0.0,1.0,5,42,50,13.57,7.52,10,0,24,41.48,0.0,1674,0,138440,1054124685,1
5,338,0,3072,1035,614.4,207.0,0.4,8,2,37,16.53,9.6,10,0,29,12.93333333,0.0,4213,0,463,63207046,1
77,14441,0,29054,2724,377.3246753,35.37662338,0.987012987,2,1,64,13.4,11.82,14,0,29,481.3666667,0.0,34617,0,12135,22202848,1
9,1715,0,2388,0,265.3333333,0.0,1.0,2,52,60,8.03,14.48,15,0,26,63.51851852,0.0,2754,0,1210,0,0
26,3962,0,9100,0,350.0,0.0,1.0,2,198,241,13.72,13.07,11,0,29,132.0666667,0.0,12013,0,0,176463141,1
15,741,0,4109,0,273.9333333,0.0,1.0,14,16,30,14.35,20.18,18,0,25,28.5,0.0,1817,0,107,0,0
25,4071,0,4637,0,185.48,0.0,1.0,4,254,279,9.17,8.03,12,0,28,140.3793103,0.0,38039,0,3871,34018930,1
27,5615,0,12990,0,481.1111111,0.0,1.0,2,7,80,8.85,10.05,11,0,29,187.1666667,0.0,13998,0,7416,0,0
14,2091,0,10250,839,732.1428571,59.92857143,0.928571429,25,29,42,15.67,15.68,13,0,26,77.44444444,0.0,11201,0,11702,39613934,1
27,3791,0,13824,1625,512.0,60.18518519,0.962962963,44,172,200,20.93,0.72,12,0,29,126.3666667,0.0,5814,0,6269,0,0
8,674,0,6204,3589,775.5,448.625,0.75,4,40,47,4.58,0.25,13,0,26,24.96296296,0.0,8577,0,6390,0,0
3,219,0,191,0,63.66666667,0.0,1.0,2,4,6,18.52,16.15,18,0,11,18.25,0.0,1928,0,1245,97043288,1
4,218,0,459,0,114.75,0.0,1.0,3,64,67,10.33,22.92,12,0,29,7.266666667,0.0,321,0,1456,0,0
14,4026,0,6265,0,447.5,0.0,1.0,1,99,223,18.73,6.05,9,0,22,175.0434783,0.0,22391,0,96,42798292,1
4,91,0,1994,1969,498.5,492.25,0.25,45,8,21,15.38,10.03,11,0,8,45.55555556,0.0,512,0,3389,182673638,1
16,1268,0,7294,5402,455.875,337.625,0.75,5,55,70,5.87,9.22,7,0,27,45.28571429,0.0,1740,0,28132,710664644,0
17,4625,0,11086,0,652.1176471,0.0,1.0,8,15,77,8.6,16.78,12,0,27,165.1785714,0.0,17365,0,0,256753818,1
27,1847,0,6707,0,248.4074074,0.0,1.0,6,53,79,17.3,13.95,15,0,28,63.68965517,0.0,6913,0,11796,0,0
